timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
9866,-0.413,0.438,1.016,6.321,3.661,7.911
9898,-0.402,0.441,1.118,4.307,-5.311,1.685
9930,-0.431,0.435,1.078,-5.215,-9.705,-2.465
9962,-0.465,0.444,1.071,-5.642,-14.344,-6.921
9994,-0.482,0.444,1.055,-12.600,-17.029,-4.601
10078,-0.594,0.413,1.089,-16.995,-47.547,10.535
10110,-0.418,0.408,1.022,-19.558,-54.566,17.615
10142,-0.336,0.414,1.069,-26.577,-48.401,12.000
10174,-0.315,0.393,1.117,-35.183,-32.166,7.117
10206,-0.350,0.387,1.113,-37.930,-30.518,2.418
10238,-0.325,0.356,1.132,-52.517,-8.607,17.615
10316,-0.284,0.275,1.253,-42.629,-2.869,32.508
10348,-0.471,0.257,1.044,-44.277,-2.442,44.959
10380,-0.536,0.196,1.126,-71.316,11.779,75.416
10412,-0.103,0.135,1.428,-37.014,39.001,73.035
10444,-0.575,0.179,1.084,-17.300,18.798,52.283
10476,-0.537,0.156,1.053,-37.136,38.268,88.782
10563,-0.592,0.134,1.037,-29.934,11.291,68.641
10595,-0.439,0.082,1.220,-30.667,26.550,84.754
10629,-0.380,0.083,1.149,-1.736,29.296,68.458
10661,-0.552,0.088,1.113,5.649,30.334,64.734
10693,-0.622,0.116,1.154,9.739,46.447,81.092
10725,-0.584,0.118,1.230,23.655,60.790,87.928
10812,-0.672,0.227,1.195,29.331,20.446,44.410
10844,-0.763,0.248,1.134,52.830,21.484,48.926
10876,-0.653,0.261,1.172,63.389,21.240,54.053
10908,-0.700,0.317,1.076,70.469,-5.433,32.081
10940,-0.667,0.366,0.978,68.149,-5.494,32.935
10972,-0.632,0.403,1.079,61.252,-8.973,29.029
11079,-0.640,0.505,1.103,61.069,-0.733,4.920
11111,-0.699,0.548,1.006,69.065,1.830,-1.855
11143,-0.588,0.574,1.046,61.375,6.957,-4.601
11175,-0.728,0.612,0.988,59.543,5.737,-12.292
11207,-0.635,0.659,0.988,58.872,10.192,-13.268
11239,-0.634,0.678,0.945,56.064,7.934,-22.485
11321,-0.717,0.731,0.867,36.228,3.600,-50.561
11353,-0.611,0.725,0.884,23.960,0.854,-56.542
11385,-0.689,0.741,0.784,23.838,-16.175,-84.619
11417,-0.885,0.725,0.868,-12.661,-7.752,-70.886
11449,-0.717,0.685,0.880,-13.210,-11.292,-65.026
11481,-0.807,0.664,0.913,-25.295,-8.851,-67.956
11562,-0.962,0.587,0.984,-47.756,-11.597,-40.917
11594,-0.750,0.556,0.998,-36.038,-14.039,-29.382
11626,-0.659,0.542,0.888,-47.573,-19.410,-36.035
11658,-0.883,0.480,1.117,-70.461,-24.048,-52.209
11690,-0.777,0.451,1.049,-34.146,-13.489,-24.743
11785,-0.749,0.349,1.220,-48.489,-33.997,-7.043
11817,-0.729,0.324,0.871,-53.494,-39.979,-9.179
11849,-0.806,0.254,1.213,-92.556,-54.566,9.925
11881,-0.547,0.233,1.266,-32.864,-41.505,7.056
11913,-0.715,0.244,0.976,-38.113,-49.378,2.601
11945,-0.764,0.229,1.150,-47.146,-51.880,32.813
12040,-0.560,0.177,1.129,-25.112,-63.233,53.443
12072,-0.393,0.140,1.174,-19.863,-58.350,59.424
12104,-0.269,0.134,1.099,-8.816,-45.594,35.987
12136,-0.349,0.142,0.983,-19.802,-47.486,9.498
12168,-0.412,0.126,1.014,-43.484,-21.912,12.610
12200,-0.357,0.105,1.076,-49.160,-15.443,13.892
12284,-0.311,0.044,1.051,-39.578,-16.297,-16.320
12316,-0.361,0.045,1.077,-46.597,-24.476,-22.424
12348,-0.366,0.019,1.126,-45.559,-10.316,-19.921
12380,-0.344,-0.015,1.085,-34.146,-3.602,-18.517
12412,-0.346,-0.026,1.037,-32.192,-5.494,-20.165
12444,-0.331,-0.042,1.087,-36.526,-0.428,-19.372
12531,-0.335,-0.014,0.922,-31.582,13.732,-18.945
12563,-0.359,-0.052,0.916,-61.611,21.606,-14.489
12595,-0.270,0.012,0.872,-53.494,3.845,-13.940
12627,-0.168,0.135,0.651,-92.861,-1.893,-32.067
12659,-0.223,0.248,0.542,-77.725,-84.473,37.208
12692,-0.587,-0.193,1.218,-38.235,82.519,-19.433
12776,-0.331,-0.209,0.910,-13.943,22.460,8.216
12808,-0.364,-0.242,0.887,-16.018,33.752,5.103
12840,-0.422,-0.282,0.873,-13.638,27.648,-0.756
12872,-0.382,-0.260,0.875,-13.943,10.742,5.714
12904,-0.392,-0.257,0.852,-5.581,6.408,3.699
12936,-0.386,-0.252,0.858,-1.064,0.488,1.807
13019,-0.386,-0.255,0.861,-2.468,4.272,1.624
13051,-0.387,-0.254,0.859,-2.224,3.906,1.563
13083,-0.391,-0.257,0.854,-1.370,3.051,1.319
13115,-0.390,-0.256,0.858,-1.309,2.868,1.319
13147,-0.392,-0.256,0.858,-1.614,3.112,1.380
13236,-0.391,-0.261,0.855,-1.309,2.746,1.197
13268,-0.394,-0.261,0.856,-1.187,2.624,1.197
13300,-0.395,-0.261,0.854,-1.309,2.563,1.136
13332,-0.398,-0.262,0.853,-1.309,2.807,1.197
13364,-0.394,-0.261,0.853,-1.431,2.563,1.197
13396,-0.397,-0.262,0.853,-0.942,2.502,1.197
13484,-0.401,-0.262,0.850,-1.064,2.380,1.014
